Interactions of FocusingGame
 win    num    0,0    0,1    0,2    0,3    0,4    1,0    1,1    1,2    1,3    1,4    2,0    2,1    2,2    2,3    2,4    3,0    3,1    3,2    3,3    3,4    4,0    4,1    4,2    4,3    4,4
-----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----
  5     0,0     1                                         1                                         1                                         1                                         1
  6     0,1     1      1                                  1                                         1                                         1                                         1
  8     0,2     1      1      1                           1      1                                  1                                         1                                         1
 11     0,3     1      1      1      1                    1      1      1                           1      1                                  1                                         1
 15     0,4     1      1      1      1      1             1      1      1      1                    1      1      1                           1      1                                  1
  6     1,0     1                                  1      1                                         1                                         1                                         1
  7     1,1     1      1                           1      1                                         1                                         1                                         1
  9     1,2     1      1      1                    1      1      1                                  1                                         1                                         1
 12     1,3     1      1      1      1             1      1      1      1                           1      1                                  1                                         1
 16     1,4     1      1      1      1      1      1      1      1      1      1                    1      1      1                           1      1                                  1
  8     2,0     1                                  1      1                           1      1      1                                         1                                         1
  9     2,1     1      1                           1      1                           1      1      1                                         1                                         1
 11     2,2     1      1      1                    1      1      1                    1      1      1                                         1                                         1
 14     2,3     1      1      1      1             1      1      1      1             1      1      1      1                                  1                                         1
 18     2,4     1      1      1      1      1      1      1      1      1      1      1      1      1      1      1                           1      1                                  1
 11     3,0     1                                  1      1                           1      1      1                    1      1      1      1                                         1
 12     3,1     1      1                           1      1                           1      1      1                    1      1      1      1                                         1
 14     3,2     1      1      1                    1      1      1                    1      1      1                    1      1      1      1                                         1
 17     3,3     1      1      1      1             1      1      1      1             1      1      1      1             1      1      1      1                                         1
 21     3,4     1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1                                  1
 15     4,0     1                                  1      1                           1      1      1                    1      1      1      1             1      1      1      1      1
 16     4,1     1      1                           1      1                           1      1      1                    1      1      1      1             1      1      1      1      1
 18     4,2     1      1      1                    1      1      1                    1      1      1                    1      1      1      1             1      1      1      1      1
 21     4,3     1      1      1      1             1      1      1      1             1      1      1      1             1      1      1      1             1      1      1      1      1
 25     4,4     1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1


Dims: 2, points=5 Origin: 0 Spanned: 16 Duplicates: 0
 dim    num    0,0    0,1    0,2    0,3    0,4    1,0    1,1    1,2    1,3    1,4    2,0    2,1    2,2    2,3    2,4    3,0    3,1    3,2    3,3    3,4    4,0    4,1    4,2    4,3    4,4
-----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----
  0     0,0     1                                         1                                         1                                         1                                         1
  0     0,1     1      1                                  1                                         1                                         1                                         1
  0     0,2     1      1      1                           1      1                                  1                                         1                                         1
  0     0,3     1      1      1      1                    1      1      1                           1      1                                  1                                         1
  0     0,4     1      1      1      1      1             1      1      1      1                    1      1      1                           1      1                                  1
-----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----
  1     1,0     1                                  1      1                                         1                                         1                                         1
  1     2,0     1                                  1      1                           1      1      1                                         1                                         1
  1     3,0     1                                  1      1                           1      1      1                    1      1      1      1                                         1
  1     4,0     1                                  1      1                           1      1      1                    1      1      1      1             1      1      1      1      1
-----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----
SPAN    1,1     1      1                           1      1                                         1                                         1                                         1
SPAN    1,2     1      1      1                    1      1      1                                  1                                         1                                         1
SPAN    2,1     1      1                           1      1                           1      1      1                                         1                                         1
SPAN    2,2     1      1      1                    1      1      1                    1      1      1                                         1                                         1
SPAN    1,3     1      1      1      1             1      1      1      1                           1      1                                  1                                         1
SPAN    3,1     1      1                           1      1                           1      1      1                    1      1      1      1                                         1
SPAN    2,3     1      1      1      1             1      1      1      1             1      1      1      1                                  1                                         1
SPAN    3,2     1      1      1                    1      1      1                    1      1      1                    1      1      1      1                                         1
SPAN    1,4     1      1      1      1      1      1      1      1      1      1                    1      1      1                           1      1                                  1
SPAN    4,1     1      1                           1      1                           1      1      1                    1      1      1      1             1      1      1      1      1
SPAN    3,3     1      1      1      1             1      1      1      1             1      1      1      1             1      1      1      1                                         1
SPAN    2,4     1      1      1      1      1      1      1      1      1      1      1      1      1      1      1                           1      1                                  1
SPAN    4,2     1      1      1                    1      1      1                    1      1      1                    1      1      1      1             1      1      1      1      1
SPAN    3,4     1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1                                  1
SPAN    4,3     1      1      1      1             1      1      1      1             1      1      1      1             1      1      1      1             1      1      1      1      1
SPAN    4,4     1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1      1
-----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----
